ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300256.SZ,20190715,3.58,3.68,3.55,3.64,3.65,-0.01,-0.274,149832.46,54244.613
300256.SZ,20190716,3.61,4.0,3.61,4.0,3.64,0.36,9.8901,790061.63,310202.762
300256.SZ,20190717,4.0,4.35,3.9,4.03,4.0,0.03,0.75,1192397.19,487168.73
300256.SZ,20190718,3.9,4.01,3.77,3.86,4.03,-0.17,-4.2184,758649.37,293610.016
300256.SZ,20190719,3.87,3.94,3.78,3.81,3.86,-0.05,-1.2953,408960.86,157104.69
300256.SZ,20190722,3.86,4.02,3.71,3.86,3.81,0.05,1.3123,594886.2,232005.041
300256.SZ,20190723,3.87,4.2,3.81,4.04,3.86,0.18,4.6632,667948.87,268926.537
300256.SZ,20190724,4.06,4.16,3.96,4.03,4.04,-0.01,-0.2475,651693.46,263425.353
300256.SZ,20190725,4.04,4.3,3.97,4.2,4.03,0.17,4.2184,866284.3,357891.858
300256.SZ,20190726,4.14,4.21,4.06,4.12,4.2,-0.08,-1.9048,480413.93,198027.701
300256.SZ,20190729,4.14,4.14,4.01,4.12,4.12,0.0,0.0,381145.0,155106.54
300256.SZ,20190730,4.12,4.12,4.01,4.05,4.12,-0.07,-1.699,336470.76,136518.337
300256.SZ,20190731,4.1,4.1,3.98,3.99,4.05,-0.06,-1.4815,274173.0,110938.104
300256.SZ,20190801,3.92,4.0,3.9,3.92,3.99,-0.07,-1.7544,295931.8,116462.678
300256.SZ,20190802,3.81,3.85,3.74,3.78,3.92,-0.14,-3.5714,293166.0,111188.547
300256.SZ,20190805,3.76,3.89,3.74,3.75,3.78,-0.03,-0.7937,252002.5,96118.945
300256.SZ,20190806,3.65,3.7,3.5,3.69,3.75,-0.06,-1.6,322187.18,116581.897
300256.SZ,20190807,3.7,3.73,3.64,3.65,3.69,-0.04,-1.084,141830.6,52181.566
300256.SZ,20190808,3.67,3.79,3.65,3.79,3.65,0.14,3.8356,213289.27,79438.479
300256.SZ,20190809,3.78,3.83,3.68,3.7,3.79,-0.09,-2.3747,177983.51,66620.997
300256.SZ,20190812,3.72,3.82,3.7,3.82,3.7,0.12,3.2432,174741.0,65925.056
300256.SZ,20190813,3.76,3.9,3.74,3.83,3.82,0.01,0.2618,223896.07,85638.337
300256.SZ,20190814,3.88,4.0,3.85,3.86,3.83,0.03,0.7833,366234.0,143922.518
300256.SZ,20190815,3.77,3.93,3.73,3.92,3.86,0.06,1.5544,285218.5,108929.583
300256.SZ,20190816,3.9,3.98,3.84,3.91,3.92,-0.01,-0.2551,247444.88,96925.975
300256.SZ,20190819,4.0,4.05,3.93,4.03,3.91,0.12,3.0691,382837.0,153066.348
300256.SZ,20190820,4.02,4.09,3.96,3.97,4.03,-0.06,-1.4888,348190.88,139911.245
300256.SZ,20190821,3.96,4.07,3.92,3.97,3.97,0.0,0.0,260359.38,103703.017
300256.SZ,20190822,3.99,4.04,3.94,3.97,3.97,0.0,0.0,189287.0,75459.01
300256.SZ,20190823,3.98,4.0,3.88,3.91,3.97,-0.06,-1.5113,283136.32,111327.413
300256.SZ,20190826,3.81,3.85,3.77,3.81,3.91,-0.1,-2.5575,179548.33,68508.914
300256.SZ,20190827,3.85,3.89,3.82,3.87,3.81,0.06,1.5748,157851.06,61022.246
300256.SZ,20190828,3.87,3.9,3.84,3.88,3.87,0.01,0.2584,114858.5,44432.634
300256.SZ,20190829,3.88,3.88,3.81,3.82,3.88,-0.06,-1.5464,169424.5,64962.337
300256.SZ,20190830,3.84,3.93,3.8,3.82,3.82,0.0,0.0,213225.0,82279.771
300256.SZ,20190902,3.8,3.89,3.77,3.88,3.82,0.06,1.5707,200637.22,77061.611
300256.SZ,20190903,3.87,4.04,3.86,3.99,3.88,0.11,2.8351,403369.01,159589.487
300256.SZ,20190904,3.97,4.02,3.94,3.98,3.99,-0.01,-0.2506,241317.63,95838.825
300256.SZ,20190905,4.03,4.28,3.98,4.02,3.98,0.04,1.005,533172.71,217788.259
300256.SZ,20190906,4.03,4.14,4.0,4.06,4.02,0.04,0.995,355602.01,144379.916
300256.SZ,20190909,4.09,4.17,4.06,4.16,4.06,0.1,2.4631,396968.43,163869.143
300256.SZ,20190910,4.15,4.27,4.08,4.16,4.16,0.0,0.0,403350.56,167479.388
300256.SZ,20190911,4.17,4.33,4.1,4.15,4.16,-0.01,-0.2404,405924.55,170224.028
300256.SZ,20190912,4.13,4.17,4.09,4.11,4.15,-0.04,-0.9639,298617.29,123036.178
300256.SZ,20190916,4.12,4.23,4.11,4.21,4.11,0.1,2.4331,351226.68,146848.049
300256.SZ,20190917,4.19,4.23,4.01,4.09,4.21,-0.12,-2.8504,323919.84,132584.238
300256.SZ,20190918,4.08,4.16,4.03,4.1,4.09,0.01,0.2445,219587.08,89885.523
300256.SZ,20190919,4.11,4.19,4.06,4.18,4.1,0.08,1.9512,391148.05,162107.94
300256.SZ,20190920,4.21,4.44,4.16,4.41,4.18,0.23,5.5024,907354.11,391461.056
